                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  0.753,                0.54277,                 1.1151,                0.99172,                 0.9845,                0.98635,                0.82202,                0.96864,                0.57201,                 1.2692,               0.008251,               0.008251,               0.008251
                     56,                0.75431,                 0.5415,                 1.1166,                0.99141,                0.98483,                0.98653,                0.82528,                0.97086,                0.56952,                 1.2693,               0.008218,               0.008218,               0.008218
                     57,                0.75664,                0.53788,                   1.12,                 0.9919,                0.98503,                0.98669,                0.82244,                0.97357,                0.56764,                 1.2739,               0.008185,               0.008185,               0.008185
                     58,                0.74815,                0.53017,                 1.1146,                0.99139,                0.98562,                0.98704,                0.82693,                0.96178,                0.56308,                 1.2627,               0.008152,               0.008152,               0.008152
                     59,                0.75891,                0.53804,                 1.1162,                0.99158,                0.98476,                0.98694,                0.82724,                0.95138,                0.55248,                 1.2525,               0.008119,               0.008119,               0.008119
                     60,                0.75013,                0.53156,                 1.1115,                0.99158,                0.98504,                0.98707,                0.82882,                0.96334,                0.55707,                 1.2701,               0.008086,               0.008086,               0.008086
                     61,                0.75475,                0.53442,                  1.116,                 0.9931,                0.98391,                0.98635,                0.82794,                 0.9583,                0.56009,                 1.2578,               0.008053,               0.008053,               0.008053
                     62,                0.75465,                0.53381,                 1.1094,                0.99044,                0.98567,                0.98673,                0.82886,                0.96906,                0.55629,                 1.2728,                0.00802,                0.00802,                0.00802
                     63,                0.75213,                0.52771,                 1.1088,                0.99096,                 0.9854,                0.98696,                0.82902,                0.97123,                 0.5595,                 1.2632,               0.007987,               0.007987,               0.007987
                     64,                 0.7408,                0.51915,                 1.1045,                0.99047,                0.98586,                0.98736,                0.83102,                0.96752,                0.55384,                 1.2584,               0.007954,               0.007954,               0.007954
                     65,                0.74766,                0.52641,                  1.112,                0.99118,                0.98635,                0.98717,                0.82662,                0.95269,                 0.5389,                 1.2566,               0.007921,               0.007921,               0.007921
                     66,                 0.7507,                  0.526,                 1.1061,                0.99155,                0.98527,                0.98652,                0.82972,                0.95669,                0.54584,                 1.2551,               0.007888,               0.007888,               0.007888
                     67,                0.74371,                0.51833,                  1.113,                0.99254,                0.98466,                0.98725,                0.82933,                0.96417,                0.54706,                  1.251,               0.007855,               0.007855,               0.007855
                     68,                0.74427,                0.52101,                 1.1038,                0.99257,                0.98564,                0.98703,                0.82977,                0.95611,                0.53772,                 1.2513,               0.007822,               0.007822,               0.007822
                     69,                0.74194,                0.52059,                 1.1086,                0.99248,                0.98559,                0.98738,                0.83036,                0.95221,                0.53775,                 1.2476,               0.007789,               0.007789,               0.007789
                     70,                0.73856,                0.51776,                 1.1116,                0.99328,                0.98509,                0.98741,                0.82923,                0.95345,                0.53312,                 1.2527,               0.007756,               0.007756,               0.007756
                     71,                0.73763,                 0.5085,                 1.0988,                0.99273,                0.98576,                0.98733,                0.83205,                0.94239,                0.52749,                 1.2449,               0.007723,               0.007723,               0.007723
                     72,                0.74127,                0.52011,                 1.1094,                0.99226,                0.98637,                 0.9874,                0.83017,                0.94934,                 0.5307,                 1.2506,                0.00769,                0.00769,                0.00769
                     73,                0.74381,                0.51557,                 1.1098,                 0.9917,                0.98635,                0.98699,                  0.833,                 0.9504,                 0.5294,                 1.2484,               0.007657,               0.007657,               0.007657
                     74,                0.74047,                0.51559,                 1.1054,                0.99197,                0.98625,                0.98708,                0.83243,                 0.9445,                0.53619,                 1.2348,               0.007624,               0.007624,               0.007624
                     75,                0.74333,                0.51553,                 1.1084,                0.99167,                0.98579,                0.98733,                0.83194,                0.94635,                0.52462,                 1.2345,               0.007591,               0.007591,               0.007591
                     76,                0.73227,                0.50543,                 1.1032,                0.99309,                0.98525,                0.98742,                0.83334,                0.94633,                0.52177,                 1.2415,               0.007558,               0.007558,               0.007558
                     77,                0.74681,                0.50978,                 1.1076,                0.99207,                0.98578,                0.98737,                0.83288,                0.94449,                0.53076,                 1.2461,               0.007525,               0.007525,               0.007525
                     78,                0.74101,                0.50982,                 1.1042,                0.99149,                0.98645,                0.98758,                0.83271,                0.94554,                0.52443,                  1.243,               0.007492,               0.007492,               0.007492
                     79,                0.72822,                0.50932,                 1.1047,                0.99101,                0.98723,                0.98754,                0.83223,                0.94601,                0.51777,                   1.24,               0.007459,               0.007459,               0.007459
