                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.82549,                0.65324,                 1.0964,                0.98966,                0.98175,                0.98468,                0.81794,                 1.0089,                0.62753,                 1.2892,             0.00015239,             0.00015239,             0.00015239
                     47,                0.81822,                0.63576,                 1.0962,                0.98871,                0.98212,                0.98495,                0.81607,                 1.0063,                0.63097,                 1.2959,             0.00014971,             0.00014971,             0.00014971
                     48,                0.81725,                0.63872,                 1.0917,                0.98908,                0.98087,                0.98483,                0.81826,                 1.0064,                0.62997,                 1.2915,             0.00014704,             0.00014704,             0.00014704
                     49,                0.81921,                0.63648,                 1.0931,                0.98953,                0.98216,                0.98534,                0.81748,                  1.012,                0.62108,                 1.2992,             0.00014437,             0.00014437,             0.00014437
                     50,                 0.8185,                0.63222,                 1.0915,                0.99038,                0.98192,                0.98501,                0.82139,                 1.0094,                0.62494,                 1.2904,              0.0001417,              0.0001417,              0.0001417
                     51,                0.81488,                0.62809,                 1.0943,                0.98738,                0.98284,                0.98521,                0.82048,                 1.0122,                 0.6196,                 1.2947,             0.00013902,             0.00013902,             0.00013902
                     52,                0.81035,                0.61919,                 1.0888,                0.99126,                  0.981,                0.98528,                0.82187,                 1.0035,                0.61534,                 1.2924,             0.00013635,             0.00013635,             0.00013635
                     53,                0.80586,                0.61406,                 1.0829,                0.98735,                0.98236,                0.98512,                 0.8225,                0.99752,                0.60891,                 1.2821,             0.00013368,             0.00013368,             0.00013368
                     54,                0.80149,                0.60904,                 1.0779,                0.99062,                0.98284,                0.98524,                0.82076,                 1.0043,                0.61175,                 1.2823,               0.000131,               0.000131,               0.000131
                     55,                0.79794,                0.61152,                 1.0827,                0.98866,                0.98329,                0.98529,                0.82347,                0.99653,                0.60236,                 1.2712,             0.00012833,             0.00012833,             0.00012833
                     56,                 0.8005,                0.60616,                 1.0824,                0.98777,                0.98355,                0.98526,                0.82086,                 1.0021,                0.59767,                 1.2834,             0.00012566,             0.00012566,             0.00012566
                     57,                0.80285,                0.60654,                 1.0863,                0.98947,                 0.9837,                0.98532,                0.82484,                0.99997,                0.60373,                 1.2723,             0.00012298,             0.00012298,             0.00012298
                     58,                0.79271,                0.59494,                 1.0821,                0.98865,                 0.9844,                0.98574,                0.82441,                 0.9911,                0.59323,                 1.2742,             0.00012031,             0.00012031,             0.00012031
                     59,                0.80338,                0.60385,                 1.0812,                 0.9889,                0.98286,                0.98557,                0.82528,                0.99792,                0.58638,                 1.2733,             0.00011764,             0.00011764,             0.00011764
                     60,                 0.7953,                0.59703,                 1.0782,                0.98845,                0.98513,                0.98537,                0.82372,                 0.9896,                0.59143,                 1.2743,             0.00011497,             0.00011497,             0.00011497
                     61,                 0.7948,                0.59639,                 1.0796,                0.98907,                0.98449,                0.98574,                0.82495,                0.98443,                0.58511,                 1.2644,             0.00011229,             0.00011229,             0.00011229
                     62,                0.79661,                0.59343,                 1.0742,                 0.9898,                0.98377,                 0.9856,                0.82201,                0.99273,                0.58729,                 1.2697,             0.00010962,             0.00010962,             0.00010962
                     63,                0.79551,                 0.5878,                 1.0725,                0.98971,                0.98412,                0.98561,                0.82353,                0.99194,                 0.5872,                 1.2679,             0.00010695,             0.00010695,             0.00010695
                     64,                0.78338,                0.58138,                   1.07,                0.98994,                0.98329,                0.98586,                0.82507,                0.99016,                0.58306,                  1.266,             0.00010427,             0.00010427,             0.00010427
                     65,                0.78617,                0.58538,                 1.0722,                0.98973,                0.98397,                0.98602,                0.82276,                0.99033,                0.57765,                  1.267,              0.0001016,              0.0001016,              0.0001016
                     66,                0.79253,                0.58402,                 1.0673,                0.98925,                0.98557,                0.98578,                0.82439,                0.99121,                0.58072,                 1.2744,             9.8928e-05,             9.8928e-05,             9.8928e-05
                     67,                0.78163,                0.57584,                 1.0728,                0.99081,                0.98401,                0.98589,                0.82372,                0.99008,                 0.5814,                 1.2626,             9.6255e-05,             9.6255e-05,             9.6255e-05
                     68,                0.78226,                0.57505,                 1.0644,                0.98882,                 0.9846,                0.98615,                0.82542,                0.98132,                0.57384,                 1.2556,             9.3582e-05,             9.3582e-05,             9.3582e-05
                     69,                0.78358,                0.57633,                 1.0712,                0.98928,                0.98482,                0.98605,                0.82464,                0.97926,                0.56919,                 1.2565,             9.0909e-05,             9.0909e-05,             9.0909e-05
                     70,                0.77752,                0.57325,                 1.0717,                0.99073,                0.98359,                0.98615,                0.82685,                0.98211,                 0.5743,                 1.2606,             8.8236e-05,             8.8236e-05,             8.8236e-05
                     71,                0.77792,                0.56448,                  1.062,                0.98959,                0.98513,                0.98622,                0.82632,                0.98133,                0.57082,                 1.2611,             8.5563e-05,             8.5563e-05,             8.5563e-05
                     72,                0.77836,                0.57499,                 1.0671,                0.99257,                0.98344,                0.98603,                0.82483,                0.98559,                0.57114,                 1.2591,              8.289e-05,              8.289e-05,              8.289e-05
                     73,                0.78278,                0.56971,                 1.0702,                0.98948,                0.98521,                0.98582,                 0.8283,                0.98549,                0.56727,                 1.2557,             8.0217e-05,             8.0217e-05,             8.0217e-05
                     74,                0.77711,                 0.5691,                 1.0668,                0.99057,                0.98435,                0.98564,                0.82696,                0.98325,                0.57056,                 1.2521,             7.7544e-05,             7.7544e-05,             7.7544e-05
                     75,                0.78091,                 0.5673,                 1.0678,                0.98856,                0.98553,                0.98588,                0.82818,                0.98068,                0.56764,                 1.2557,             7.4871e-05,             7.4871e-05,             7.4871e-05
                     76,                0.76993,                0.55748,                 1.0622,                0.98954,                 0.9854,                0.98616,                0.82872,                0.97723,                0.56389,                 1.2516,             7.2198e-05,             7.2198e-05,             7.2198e-05
                     77,                0.78195,                0.56027,                  1.067,                0.98935,                0.98577,                0.98617,                0.82702,                0.98379,                0.56291,                 1.2572,             6.9525e-05,             6.9525e-05,             6.9525e-05
                     78,                0.77634,                0.55958,                 1.0639,                0.98885,                0.98549,                0.98612,                 0.8283,                 0.9786,                 0.5646,                 1.2555,             6.6852e-05,             6.6852e-05,             6.6852e-05
                     79,                 0.7634,                0.55623,                 1.0636,                0.99118,                0.98388,                0.98605,                0.82804,                0.97688,                0.55692,                 1.2559,             6.4179e-05,             6.4179e-05,             6.4179e-05
                     80,                0.77984,                0.55847,                 1.0663,                0.98951,                0.98608,                0.98607,                0.82876,                0.97939,                0.55876,                 1.2517,             6.1506e-05,             6.1506e-05,             6.1506e-05
                     81,                0.77131,                0.55496,                 1.0603,                0.99136,                  0.984,                0.98614,                 0.8282,                0.97996,                0.55506,                 1.2587,             5.8833e-05,             5.8833e-05,             5.8833e-05
                     82,                 0.7727,                0.54997,                 1.0588,                0.99084,                0.98406,                0.98624,                0.82944,                 0.9753,                0.55749,                 1.2524,              5.616e-05,              5.616e-05,              5.616e-05
                     83,                0.77555,                 0.5571,                 1.0625,                0.98913,                0.98606,                0.98614,                0.82767,                0.97076,                0.55472,                 1.2487,             5.3487e-05,             5.3487e-05,             5.3487e-05
                     84,                0.75964,                0.54415,                 1.0555,                0.99136,                0.98389,                0.98612,                0.82729,                0.97173,                0.55373,                 1.2501,             5.0814e-05,             5.0814e-05,             5.0814e-05
                     85,                0.76647,                0.54626,                 1.0595,                0.99104,                0.98463,                0.98635,                0.82865,                0.97197,                0.54774,                 1.2521,             4.8141e-05,             4.8141e-05,             4.8141e-05
                     86,                   0.76,                0.53892,                 1.0538,                0.98964,                0.98581,                0.98634,                0.82859,                0.97157,                0.55054,                 1.2491,             4.5468e-05,             4.5468e-05,             4.5468e-05
                     87,                0.75696,                0.54235,                 1.0535,                 0.9917,                0.98433,                0.98636,                 0.8292,                0.96984,                0.55052,                 1.2483,             4.2795e-05,             4.2795e-05,             4.2795e-05
                     88,                0.74946,                 0.5324,                 1.0495,                0.99059,                0.98496,                0.98648,                0.82951,                0.96968,                0.54861,                 1.2446,             4.0122e-05,             4.0122e-05,             4.0122e-05
                     89,                0.76498,                0.54138,                 1.0574,                0.98955,                0.98596,                0.98652,                0.82991,                0.97082,                0.54873,                 1.2481,             3.7449e-05,             3.7449e-05,             3.7449e-05
                     90,                0.75678,                 0.5361,                 1.0549,                0.99202,                 0.9838,                0.98642,                0.82922,                0.96963,                 0.5483,                  1.246,             3.4776e-05,             3.4776e-05,             3.4776e-05
                     91,                0.77782,                0.42144,                 1.0068,                0.99197,                0.98372,                0.98647,                0.83147,                0.97343,                0.55005,                 1.2501,             3.2103e-05,             3.2103e-05,             3.2103e-05
                     92,                0.77553,                0.41625,                 1.0083,                 0.9904,                0.98507,                0.98644,                0.83271,                 0.9719,                0.54794,                 1.2496,              2.943e-05,              2.943e-05,              2.943e-05
                     93,                0.77013,                0.40996,                 1.0095,                0.98997,                0.98535,                0.98654,                0.83321,                0.97075,                0.54825,                 1.2494,             2.6757e-05,             2.6757e-05,             2.6757e-05
                     94,                 0.7682,                0.40594,                 1.0004,                0.99177,                 0.9839,                0.98652,                0.83356,                0.97265,                0.54838,                 1.2505,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     95,                0.76132,                0.40119,                 1.0053,                0.99222,                0.98384,                0.98649,                0.83365,                0.97227,                0.54753,                 1.2497,             2.1411e-05,             2.1411e-05,             2.1411e-05
                     96,                0.77164,                 0.4036,                 1.0019,                0.98959,                0.98591,                0.98651,                0.83465,                0.97062,                0.54507,                 1.2505,             1.8738e-05,             1.8738e-05,             1.8738e-05
                     97,                0.75951,                0.39703,                 1.0053,                0.99057,                0.98518,                0.98652,                0.83475,                0.97235,                 0.5465,                 1.2509,             1.6065e-05,             1.6065e-05,             1.6065e-05
                     98,                0.76394,                0.40014,                 1.0034,                0.99006,                0.98577,                0.98661,                0.83452,                0.97189,                0.54377,                 1.2488,             1.3392e-05,             1.3392e-05,             1.3392e-05
                     99,                0.76006,                0.39814,                 1.0043,                0.98979,                0.98605,                0.98665,                0.83531,                 0.9706,                0.54097,                 1.2485,             1.0719e-05,             1.0719e-05,             1.0719e-05
                    100,                0.75999,                0.39516,                0.99983,                0.99042,                0.98525,                0.98648,                0.83511,                0.96862,                0.54287,                 1.2468,              8.046e-06,              8.046e-06,              8.046e-06
